iter	MultiClass
0	0.171822547
1	0.09947481131
2	0.05944331459
3	0.03663155744
4	0.02312476863
5	0.01511453742
6	0.01026089587
7	0.007345139752
8	0.005706868386
9	0.004697657667
10	0.003920342897
11	0.003410666196
12	0.003033538199
13	0.002832051217
14	0.002687981688
15	0.002619764113
16	0.002578741286
17	0.002445894894
18	0.002389563062
19	0.00232377076
20	0.002290170071
21	0.00228364563
22	0.002204654138
23	0.002170771834
24	0.002137238926
25	0.002132637908
26	0.002130516668
27	0.002122882083
28	0.002107924713
29	0.00208935817
30	0.002084181468
31	0.002076256353
32	0.002073726925
33	0.002065017952
34	0.002036500348
35	0.002003158376
36	0.001998555429
37	0.001996597041
38	0.001989966308
39	0.001964330837
40	0.001948003263
41	0.001915612093
42	0.001884136224
43	0.00187041391
44	0.001850741566
45	0.001802669075
46	0.0017766268
47	0.001746689627
48	0.001737253667
49	0.001711658301
50	0.00169682893
51	0.001687429492
52	0.001670574088
53	0.001660229103
54	0.001655244845
55	0.0016383266
56	0.001634803938
57	0.001630952025
58	0.001612605844
59	0.001602210494
60	0.001587842126
61	0.001579149173
62	0.001551870631
63	0.001541965925
64	0.001533802938
65	0.001508028416
66	0.001493103577
67	0.001488204139
68	0.001476094573
69	0.001465252949
70	0.001449389725
71	0.001436359747
72	0.001423955108
73	0.00141028833
74	0.001406338425
75	0.001400511871
76	0.001397850195
77	0.001384122258
78	0.001380825108
79	0.001371623626
80	0.001343323864
81	0.001335491673
82	0.001330332044
83	0.001296699218
84	0.001280018299
85	0.001277287261
86	0.001271298399
87	0.001259164492
88	0.001245628303
89	0.001240414319
90	0.00123289633
91	0.001226303781
92	0.001219870658
93	0.001214226525
94	0.001211459379
95	0.00120857585
96	0.001203699549
97	0.00118462931
98	0.001159823294
99	0.001152863427
